Category,Events,Gender,Commits,Effort,Affiliated,Active,Active_bin,Active_Censored,Logivity
Cat-I,Cactus,female,641,11,yes,yes,1,0,18
Cat-I,Cactus,female,500,12,no,no,0,1,24
Cat-I,Cactus,male,495,1,yes,no,0,1,30
Cat-I,Cactus,neutral,438,9,yes,no,0,1,31
Cat-I,Cactus,neutral,409,11,yes,no,0,1,28
Cat-I,Cactus,neutral,334,11,yes,no,0,1,29
Cat-I,Cactus,male,260,11,no,no,0,1,30
Cat-I,Cactus,neutral,240,12,yes,yes,1,0,31
Cat-I,Cactus,neutral,234,9,yes,no,0,1,32
Cat-I,Cactus,neutral,226,3,yes,no,0,1,33
Cat-I,Cactus,neutral,225,6,no,no,0,1,28
Cat-I,Cactus,female,219,9,no,no,0,1,34
Cat-I,Cactus,neutral,219,9,yes,no,0,1,25
Cat-I,Cactus,neutral,217,9,yes,no,0,1,25
Cat-I,Cactus,neutral,217,9,yes,no,0,1,27
Cat-I,Cactus,neutral,198,14,yes,no,0,1,29
Cat-I,Cactus,female,186,9,yes,yes,1,0,18
Cat-I,Cactus,female,184,5,no,no,0,1,18
Cat-I,Cactus,male,177,5,yes,yes,1,0,20
Cat-I,Cactus,male,176,5,yes,yes,1,0,20
Cat-I,Cactus,male,172,5,yes,yes,1,0,22
Cat-I,Cactus,male,171,5,yes,yes,1,0,24
Cat-I,Cactus,male,166,5,no,yes,1,0,24
Cat-I,Cactus,male,161,1,yes,no,0,1,18
Cat-I,Cactus,male,156,1,yes,yes,1,0,30
Cat-I,Cactus,male,155,1,no,yes,1,0,27
Cat-I,Cactus,male,154,3,no,yes,1,0,25
Cat-I,Cactus,male,154,3,yes,yes,1,0,26
Cat-I,Cactus,male,152,9,yes,yes,1,0,27
Cat-I,Cactus,male,152,9,yes,yes,1,0,29
Cat-I,Cactus,neutral,152,9,yes,yes,1,0,30
Cat-I,Cactus,neutral,150,5,no,no,0,1,31
Cat-I,Cactus,neutral,150,3,yes,no,0,1,28
Cat-I,Cactus,male,146,1,yes,no,0,1,29
Cat-I,Cactus,male,142,3,no,no,0,1,20
Cat-I,Cactus,male,141,5,yes,no,0,1,31
Cat-I,Cactus,male,140,1,yes,yes,1,0,32
Cat-I,Cactus,neutral,140,5,yes,yes,1,0,22
Cat-I,Cactus,neutral,134,9,no,yes,1,0,28
Cat-I,Cactus,neutral,132,9,yes,no,0,1,34
Cat-I,Cactus,male,132,9,no,no,0,1,25
Cat-I,Cactus,male,128,14,no,no,0,1,15
Cat-I,Cactus,male,126,14,no,no,0,1,27
Cat-I,Cactus,neutral,124,14,no,yes,1,0,28
Cat-I,Cactus,neutral,119,14,no,yes,1,0,24
Cat-I,Cactus,male,119,14,no,yes,1,0,24
Cat-I,Cactus,neutral,116,17,no,yes,1,0,22
Cat-I,Cactus,neutral,116,15,no,no,0,1,20
Cat-I,Cactus,male,113,19,no,no,0,1,18
Cat-I,Cactus,male,111,25,no,no,0,1,31
Cat-I,Cactus,male,108,19,yes,no,0,1,32
Cat-I,Cactus,male,107,25,yes,yes,1,0,33
Cat-I,Cactus,male,105,25,no,yes,1,0,28
Cat-I,Cactus,male,104,31,yes,yes,1,0,34
Cat-I,Cactus,male,104,31,yes,yes,1,0,25
Cat-I,Cactus,male,103,31,yes,yes,1,0,35
Cat-I,Cactus,male,101,31,yes,yes,1,0,27
Cat-I,Cactus,male,101,42,yes,yes,1,0,29
Cat-I,Cactus,male,100,42,no,yes,1,0,22
Cat-I,Cactus,male,97,62,yes,yes,1,0,24
Cat-I,Cactus,male,94,60,yes,yes,1,0,28
Cat-I,Diablo,female,1417,15,no,yes,1,0,18
Cat-I,Diablo,female,646,5,no,yes,1,0,26
Cat-I,Diablo,female,522,11,yes,yes,1,0,18
Cat-I,Diablo,female,384,7,no,yes,1,0,24
Cat-I,Diablo,female,381,4,no,yes,1,0,28
Cat-I,Diablo,male,347,1,yes,yes,1,0,29
Cat-I,Diablo,male,339,1,no,no,0,1,20
Cat-I,Diablo,male,324,9,yes,no,0,1,31
Cat-I,Diablo,male,312,9,yes,no,0,1,32
Cat-I,Diablo,male,291,9,no,no,0,1,22
Cat-I,Diablo,male,277,9,no,no,0,1,28
Cat-I,Diablo,male,270,9,no,no,0,1,34
Cat-I,Diablo,male,263,9,no,yes,1,0,25
Cat-I,Diablo,neutral,251,9,yes,yes,1,0,15
Cat-I,Diablo,female,238,20,no,yes,1,0,27
Cat-I,Diablo,female,228,7,no,yes,1,0,28
Cat-I,Diablo,neutral,208,1,no,no,0,1,24
Cat-I,Diablo,neutral,194,11,yes,no,0,1,22
Cat-I,Diablo,male,182,9,yes,yes,1,0,22
Cat-I,Diablo,male,182,12,no,yes,1,0,20
Cat-I,Diablo,neutral,181,14,no,no,0,1,18
Cat-I,Diablo,neutral,180,12,no,no,0,1,31
Cat-I,Diablo,neutral,177,14,no,no,0,1,32
Cat-I,Diablo,neutral,176,9,no,no,0,1,33
Cat-I,Diablo,neutral,175,11,no,no,0,1,18
Cat-I,Diablo,neutral,175,9,yes,no,0,1,34
Cat-I,Diablo,neutral,175,9,no,no,0,1,25
Cat-I,Diablo,male,174,6,no,no,0,1,35
Cat-I,Diablo,male,169,9,no,no,0,1,27
Cat-I,Diablo,male,168,5,no,yes,1,0,29
Cat-I,Diablo,male,160,5,no,yes,1,0,22
Cat-I,Diablo,male,156,11,yes,yes,1,0,24
Cat-I,Diablo,male,154,6,yes,yes,1,0,28
Cat-I,Diablo,male,153,9,yes,no,0,1,18
Cat-I,Diablo,male,151,3,yes,no,0,1,26
Cat-I,Diablo,male,149,9,yes,no,0,1,15
Cat-I,Diablo,male,149,9,yes,no,0,1,27
Cat-I,Diablo,male,149,11,yes,no,0,1,28
Cat-I,Diablo,male,144,15,yes,no,0,1,24
Cat-I,Diablo,male,141,9,yes,no,0,1,24
Cat-I,Diablo,male,138,12,yes,no,0,1,22
Cat-I,Diablo,neutral,138,11,yes,no,0,1,20
Cat-I,Diablo,neutral,136,11,yes,no,0,1,18
Cat-I,Diablo,neutral,135,6,no,no,0,1,31
Cat-I,Diablo,neutral,135,1,no,yes,1,0,32
Cat-I,Diablo,neutral,134,12,no,yes,1,0,33
Cat-I,Diablo,neutral,134,1,no,yes,1,0,28
Cat-I,Diablo,neutral,132,0,no,yes,1,0,34
Cat-I,Diablo,neutral,132,0,no,yes,1,0,25
Cat-I,Diablo,neutral,131,9,yes,yes,1,0,35
Cat-I,Diablo,neutral,122,0,yes,yes,1,0,27
Cat-I,Diablo,neutral,122,5,yes,yes,1,0,29
Cat-I,Diablo,male,116,1,yes,yes,1,0,22
Cat-I,Diablo,male,115,14,yes,yes,1,0,24
Cat-I,Diablo,male,115,0,yes,yes,1,0,28
Cat-I,Diablo,male,114,6,yes,yes,1,0,18
Cat-I,Diablo,male,113,1,yes,yes,1,0,26
Cat-I,Diablo,male,112,0,yes,yes,1,0,18
Cat-I,Diablo,male,112,9,yes,yes,1,0,24
Cat-I,Diablo,neutral,111,0,yes,yes,1,0,28
Cat-I,Diablo,male,109,42,yes,yes,1,0,29
Cat-I,Essex,female,528,3,yes,no,0,1,20
Cat-I,Essex,male,425,3,yes,no,0,1,31
Cat-I,Essex,female,406,11,yes,no,0,1,32
Cat-I,Essex,female,404,11,no,no,0,1,22
Cat-I,Essex,female,378,11,yes,no,0,1,28
Cat-I,Essex,female,367,12,yes,yes,1,0,34
Cat-I,Essex,female,310,14,yes,yes,1,0,25
Cat-I,Essex,male,302,15,yes,yes,1,0,15
Cat-I,Essex,male,270,12,yes,yes,1,0,27
Cat-I,Essex,male,262,14,yes,no,0,1,28
Cat-I,Essex,male,255,9,yes,no,0,1,25
Cat-I,Essex,male,252,11,yes,yes,1,0,35
Cat-I,Essex,male,247,11,yes,no,0,1,27
Cat-I,Essex,male,247,5,yes,no,0,1,29
Cat-I,Essex,male,245,6,no,yes,1,0,30
Cat-I,Essex,male,228,9,no,yes,1,0,31
Cat-I,Essex,male,219,9,no,no,0,1,28
Cat-I,Essex,male,213,9,no,no,0,1,29
Cat-I,Essex,male,203,6,no,no,0,1,20
Cat-I,Essex,male,180,5,yes,no,0,1,15
Cat-I,Essex,male,179,6,yes,yes,1,0,27
Cat-I,Essex,male,178,9,no,yes,1,0,28
Cat-I,Essex,male,171,9,no,yes,1,0,24
Cat-I,Essex,male,168,3,no,yes,1,0,24
Cat-I,Essex,male,166,1,no,no,0,1,22
Cat-I,Essex,male,165,1,yes,no,0,1,20
Cat-I,Essex,male,153,3,yes,no,0,1,18
Cat-I,Essex,male,151,5,yes,no,0,1,31
Cat-I,Essex,male,150,6,no,no,0,1,32
Cat-I,Essex,male,150,3,yes,no,0,1,33
Cat-I,Essex,male,150,6,yes,no,0,1,28
Cat-I,Essex,male,146,5,yes,no,0,1,34
Cat-I,Essex,male,146,9,yes,no,0,1,25
Cat-I,Essex,male,145,3,yes,yes,1,0,35
Cat-I,Essex,neutral,144,9,no,yes,1,0,27
Cat-I,Essex,neutral,139,3,no,yes,1,0,29
Cat-I,Essex,neutral,138,3,no,yes,1,0,26
Cat-I,Essex,neutral,136,6,yes,yes,1,0,24
Cat-I,Essex,neutral,135,3,yes,yes,1,0,28
Cat-I,Essex,neutral,134,3,yes,no,0,1,28
Cat-I,Essex,neutral,132,5,yes,no,0,1,26
Cat-I,Essex,neutral,130,6,yes,no,0,1,18
Cat-I,Essex,neutral,127,5,yes,no,0,1,24
Cat-I,Essex,neutral,119,9,yes,no,0,1,28
Cat-I,Essex,neutral,116,9,yes,yes,1,0,29
Cat-I,Essex,neutral,115,9,yes,yes,1,0,20
Cat-I,Essex,neutral,115,9,yes,yes,1,0,28
Cat-I,Essex,neutral,114,3,yes,yes,1,0,32
Cat-I,Essex,neutral,112,5,yes,no,0,1,22
Cat-I,Essex,neutral,112,5,no,no,0,1,28
Cat-I,Essex,neutral,111,11,no,no,0,1,24
Cat-I,Essex,neutral,109,9,no,no,0,1,25
Cat-I,Essex,neutral,109,6,no,yes,1,0,15
Cat-I,Essex,male,106,9,no,no,0,1,27
Cat-I,Essex,male,104,5,no,yes,1,0,28
Cat-I,Essex,male,103,5,no,yes,1,0,29
Cat-I,Essex,neutral,102,11,yes,yes,1,0,30
Cat-I,Essex,neutral,101,37,no,yes,1,0,31
Cat-I,Essex,neutral,100,19,no,yes,1,0,28
Cat-I,Essex,neutral,100,15,no,yes,1,0,29
Cat-I,Essex,neutral,99,71,yes,yes,1,0,26
Cat-I,Folsom,female,649,9,no,no,0,1,31
Cat-I,Folsom,neutral,639,3,no,no,0,1,32
Cat-I,Folsom,neutral,469,3,no,no,0,1,33
Cat-I,Folsom,neutral,383,14,yes,yes,1,0,28
Cat-I,Folsom,neutral,363,9,yes,yes,1,0,34
Cat-I,Folsom,neutral,357,14,yes,yes,1,0,25
Cat-I,Folsom,neutral,323,3,no,no,0,1,35
Cat-I,Folsom,neutral,286,9,no,no,0,1,27
Cat-I,Folsom,neutral,268,12,no,no,0,1,28
Cat-I,Folsom,neutral,252,15,no,no,0,1,29
Cat-I,Folsom,neutral,252,12,no,no,0,1,26
Cat-I,Folsom,neutral,250,12,yes,no,0,1,24
Cat-I,Folsom,neutral,230,12,no,yes,1,0,28
Cat-I,Folsom,neutral,227,6,yes,no,0,1,28
Cat-I,Folsom,neutral,222,9,no,no,0,1,26
Cat-I,Folsom,neutral,219,14,no,no,0,1,18
Cat-I,Folsom,female,211,15,no,no,0,1,24
Cat-I,Folsom,female,205,6,no,yes,1,0,28
Cat-I,Folsom,female,202,9,no,no,0,1,29
Cat-I,Folsom,male,199,3,no,no,0,1,20
Cat-I,Folsom,male,195,14,no,yes,1,0,28
Cat-I,Folsom,female,187,15,yes,yes,1,0,32
Cat-I,Folsom,male,181,3,no,yes,1,0,22
Cat-I,Folsom,male,173,5,no,yes,1,0,28
Cat-I,Folsom,female,168,9,yes,yes,1,0,24
Cat-I,Folsom,female,163,9,yes,no,0,1,25
Cat-I,Folsom,male,161,11,yes,no,0,1,15
Cat-I,Folsom,male,149,9,yes,no,0,1,27
Cat-I,Folsom,neutral,141,9,yes,no,0,1,28
Cat-I,Folsom,male,141,9,yes,no,0,1,29
Cat-I,Folsom,male,139,11,no,no,0,1,22
Cat-I,Folsom,male,138,11,no,yes,1,0,31
Cat-I,Folsom,male,136,12,no,yes,1,0,27
Cat-I,Folsom,male,135,12,no,yes,1,0,29
Cat-I,Folsom,male,132,14,no,yes,1,0,26
Cat-I,Folsom,male,131,5,yes,yes,1,0,24
Cat-I,Folsom,male,129,0,yes,yes,1,0,28
Cat-I,Folsom,male,129,3,yes,yes,1,0,28
Cat-I,Folsom,male,127,1,yes,no,0,1,26
Cat-I,Folsom,male,126,5,yes,no,0,1,28
Cat-I,Folsom,male,126,6,yes,no,0,1,24
Cat-I,Folsom,male,125,9,yes,no,0,1,25
Cat-I,Folsom,male,123,9,yes,no,0,1,15
Cat-I,Folsom,neutral,122,9,yes,no,0,1,27
Cat-I,Folsom,neutral,121,6,no,no,0,1,20
Cat-I,Folsom,neutral,118,5,yes,no,0,1,28
Cat-I,Folsom,neutral,117,6,no,no,0,1,32
Cat-I,Folsom,neutral,117,9,yes,no,0,1,22
Cat-I,Folsom,neutral,117,9,yes,no,0,1,28
Cat-I,Folsom,neutral,117,11,no,yes,1,0,24
Cat-I,Folsom,male,116,9,no,yes,1,0,25
Cat-I,Folsom,male,115,9,yes,yes,1,0,15
Cat-I,Folsom,male,114,9,yes,yes,1,0,27
Cat-I,Folsom,male,113,9,no,yes,1,0,28
Cat-I,Folsom,male,113,6,yes,yes,1,0,29
Cat-I,Folsom,male,113,6,no,yes,1,0,22
Cat-I,Folsom,male,111,6,no,yes,1,0,31
Cat-I,Folsom,neutral,110,1,yes,yes,1,0,27
Cat-I,Folsom,male,109,6,no,yes,1,0,29
Cat-I,Folsom,male,108,6,yes,yes,1,0,26
Cat-I,Folsom,male,107,9,yes,yes,1,0,24
Cat-I,Grizzly,male,1259,6,no,yes,1,0,28
Cat-I,Grizzly,male,850,6,no,no,0,1,28
Cat-I,Grizzly,male,515,3,yes,no,0,1,26
Cat-I,Grizzly,male,449,9,yes,yes,1,0,28
Cat-I,Grizzly,female,426,11,no,yes,1,0,22
Cat-I,Grizzly,female,367,6,no,yes,1,0,22
Cat-I,Grizzly,female,366,9,no,no,0,1,28
Cat-I,Grizzly,female,363,9,yes,yes,1,0,24
Cat-I,Grizzly,female,321,11,no,yes,1,0,25
Cat-I,Grizzly,female,287,5,no,yes,1,0,15
Cat-I,Grizzly,male,268,15,no,no,0,1,22
Cat-I,Grizzly,male,250,9,no,no,0,1,28
Cat-I,Grizzly,male,240,11,yes,no,0,1,24
Cat-I,Grizzly,male,230,11,yes,no,0,1,25
Cat-I,Grizzly,male,226,9,yes,no,0,1,15
Cat-I,Grizzly,male,220,9,yes,no,0,1,27
Cat-I,Grizzly,male,219,6,no,yes,1,0,22
Cat-I,Grizzly,male,213,9,no,no,0,1,28
Cat-I,Grizzly,male,204,9,no,no,0,1,24
Cat-I,Grizzly,male,202,6,no,yes,1,0,25
Cat-I,Grizzly,male,197,14,no,yes,1,0,15
Cat-I,Grizzly,male,195,6,yes,no,0,1,18
Cat-I,Grizzly,male,192,11,no,no,0,1,22
Cat-I,Grizzly,male,182,9,no,no,0,1,24
Cat-I,Grizzly,neutral,176,12,no,yes,1,0,26
Cat-I,Grizzly,male,165,12,no,no,0,1,22
Cat-I,Grizzly,male,165,6,no,yes,1,0,22
Cat-I,Grizzly,male,163,14,no,no,0,1,28
Cat-I,Grizzly,male,160,11,no,no,0,1,24
Cat-I,Grizzly,male,160,9,no,no,0,1,25
Cat-I,Grizzly,neutral,160,9,yes,yes,1,0,15
Cat-I,Grizzly,neutral,159,11,no,yes,1,0,22
Cat-I,Grizzly,neutral,155,11,no,yes,1,0,28
Cat-I,Grizzly,neutral,153,9,no,yes,1,0,24
Cat-I,Grizzly,neutral,150,9,no,yes,1,0,25
Cat-I,Grizzly,neutral,148,9,no,yes,1,0,15
Cat-I,Grizzly,neutral,147,9,no,no,0,1,27
Cat-I,Grizzly,neutral,146,12,no,no,0,1,28
Cat-I,Grizzly,neutral,146,9,no,no,0,1,29
Cat-I,Grizzly,neutral,146,9,no,no,0,1,22
Cat-I,Grizzly,neutral,142,6,no,yes,1,0,22
Cat-I,Grizzly,neutral,140,11,yes,yes,1,0,28
Cat-I,Grizzly,neutral,138,9,yes,yes,1,0,24
Cat-I,Grizzly,neutral,135,9,yes,no,0,1,25
Cat-I,Grizzly,neutral,134,6,yes,no,0,1,15
Cat-I,Grizzly,neutral,130,5,no,no,0,1,22
Cat-I,Grizzly,neutral,129,11,no,yes,1,0,28
Cat-I,Grizzly,male,128,14,yes,yes,1,0,24
Cat-I,Grizzly,neutral,126,6,yes,yes,1,0,25
Cat-I,Grizzly,neutral,124,3,yes,yes,1,0,15
Cat-I,Grizzly,neutral,124,5,yes,yes,1,0,27
Cat-I,Grizzly,male,121,9,yes,yes,1,0,25
Cat-I,Grizzly,male,120,6,yes,no,0,1,35
Cat-I,Grizzly,male,119,11,yes,no,0,1,30
Cat-I,Grizzly,male,117,12,no,no,0,1,22
Cat-I,Grizzly,male,117,9,no,yes,1,0,22
Cat-I,Grizzly,male,116,17,no,yes,1,0,28
Cat-I,Grizzly,male,115,1,no,yes,1,0,24
Cat-I,Grizzly,neutral,110,9,no,no,0,1,25
Cat-I,Grizzly,neutral,109,9,no,yes,1,0,15
Cat-I,Grizzly,male,108,9,yes,yes,1,0,22
Cat-I,Havana,male,543,6,yes,no,0,1,28
Cat-I,Havana,neutral,377,6,no,no,0,1,24
Cat-I,Havana,female,346,10,no,no,0,1,25
Cat-I,Havana,female,323,11,no,no,0,1,15
Cat-I,Havana,female,318,19,no,no,0,1,27
Cat-I,Havana,male,307,3,yes,no,0,1,29
Cat-I,Havana,male,306,11,yes,yes,1,0,22
Cat-I,Havana,female,284,14,yes,yes,1,0,22
Cat-I,Havana,male,279,3,yes,yes,1,0,28
Cat-I,Havana,male,274,5,yes,no,0,1,24
Cat-I,Havana,female,254,18,no,no,0,1,25
Cat-I,Havana,female,239,19,no,no,0,1,15
Cat-I,Havana,male,233,5,no,no,0,1,22
Cat-I,Havana,male,226,9,yes,no,0,1,28
Cat-I,Havana,neutral,210,9,no,no,0,1,24
Cat-I,Havana,male,196,17,no,no,0,1,25
Cat-I,Havana,male,188,6,no,no,0,1,15
Cat-I,Havana,male,177,9,yes,no,0,1,27
Cat-I,Havana,male,172,5,yes,yes,1,0,22
Cat-I,Havana,male,170,9,no,yes,1,0,26
Cat-I,Havana,male,170,11,no,yes,1,0,20
Cat-I,Havana,male,164,3,yes,yes,1,0,18
Cat-I,Havana,male,164,1,yes,yes,1,0,22
Cat-I,Havana,male,164,1,no,yes,1,0,22
Cat-I,Havana,male,162,5,no,no,0,1,28
Cat-I,Havana,female,152,4,yes,no,0,1,24
Cat-I,Havana,male,150,1,yes,no,0,1,25
Cat-I,Havana,male,149,1,yes,no,0,1,15
Cat-I,Havana,male,149,5,yes,no,0,1,22
Cat-I,Havana,male,136,6,yes,no,0,1,28
Cat-I,Havana,neutral,136,9,no,no,0,1,24
Cat-I,Havana,neutral,133,9,no,yes,1,0,25
Cat-I,Havana,neutral,128,1,no,yes,1,0,15
Cat-I,Havana,neutral,125,26,no,yes,1,0,27
Cat-I,Havana,neutral,120,1,no,yes,1,0,25
Cat-I,Havana,male,118,1,no,yes,1,0,24
Cat-I,Havana,neutral,117,1,yes,no,0,1,25
Cat-I,Havana,neutral,117,1,yes,no,0,1,15
Cat-I,Havana,neutral,116,24,yes,no,0,1,18
Cat-I,Havana,neutral,115,3,yes,no,0,1,22
Cat-I,Havana,neutral,115,5,yes,no,0,1,24
Cat-I,Havana,neutral,115,5,yes,no,0,1,26
Cat-I,Havana,neutral,111,6,no,yes,1,0,22
Cat-I,Havana,neutral,111,6,no,yes,1,0,22
Cat-I,Havana,neutral,111,9,no,yes,1,0,28
Cat-I,Havana,neutral,109,5,no,no,0,1,24
Cat-I,Havana,male,108,9,no,no,0,1,25
Cat-I,Havana,male,106,3,no,yes,1,0,15
Cat-I,Havana,male,106,11,yes,yes,1,0,22
Cat-I,Havana,male,105,9,yes,yes,1,0,28
Cat-I,Havana,male,105,9,no,no,0,1,24
Cat-I,Havana,male,104,11,no,yes,1,0,25
Cat-I,Havana,male,104,12,no,yes,1,0,15
Cat-I,Havana,male,103,14,no,no,0,1,27
Cat-I,Havana,male,102,9,no,no,0,1,28
Cat-I,Havana,male,101,6,no,no,0,1,29
Cat-I,Havana,male,99,3,no,no,0,1,22
Cat-I,Havana,neutral,98,3,yes,yes,1,0,22
Cat-I,Havana,neutral,96,6,yes,no,0,1,28
Cat-I,Havana,neutral,96,9,no,yes,1,0,24
Cat-I,Havana,neutral,93,9,no,no,0,1,25
Cat-I,Icehouse,male,821,11,yes,no,0,1,15
Cat-I,Icehouse,male,609,11,yes,yes,1,0,22
